rms,peak,std,crest_factor,label,fault_type,severity_mil,load_hp,rpm,source_file,window_index
0.13775885105133057,0.48178258538246155,0.13684605062007904,3.497289515015944,1,Ball,7.0,0,1796,B007_0.mat,0
0.13929282128810883,0.48178258538246155,0.13842220604419708,3.4587754123089933,1,Ball,7.0,0,1796,B007_0.mat,1
0.13136842846870422,0.44296059012413025,0.13043060898780823,3.3718953274199848,1,Ball,7.0,0,1796,B007_0.mat,2
0.14411114156246185,0.49461495876312256,0.14326399564743042,3.432177091933884,1,Ball,7.0,0,1796,B007_0.mat,3
0.1497964709997177,0.5090717077255249,0.14904147386550903,3.398422568489509,1,Ball,7.0,0,1796,B007_0.mat,4
0.1348772495985031,0.5090717077255249,0.1340644806623459,3.7743333975218802,1,Ball,7.0,0,1796,B007_0.mat,5
0.12902195751667023,0.3997528553009033,0.12808288633823395,3.0983319660861093,1,Ball,7.0,0,1796,B007_0.mat,6
0.12302614003419876,0.34923553466796875,0.12206064164638519,2.8387100056206624,1,Ball,7.0,0,1796,B007_0.mat,7
0.12998221814632416,0.40608781576156616,0.1291053146123886,3.124179765146208,1,Ball,7.0,0,1796,B007_0.mat,8
0.13787499070167542,0.40608781576156616,0.13701558113098145,2.9453334045202695,1,Ball,7.0,0,1796,B007_0.mat,9
0.13709785044193268,0.4322398900985718,0.13622505962848663,3.1527838598873252,1,Ball,7.0,0,1796,B007_0.mat,10
0.14155027270317078,0.46618881821632385,0.1407727599143982,3.2934505127652858,1,Ball,7.0,0,1796,B007_0.mat,11
0.14112386107444763,0.5204421281814575,0.14031781256198883,3.687839350617729,1,Ball,7.0,0,1796,B007_0.mat,12
0.14440642297267914,0.5204421281814575,0.1435604691505432,3.604009554893013,1,Ball,7.0,0,1796,B007_0.mat,13
0.13895757496356964,0.45676758885383606,0.13817696273326874,3.287101037662656,1,Ball,7.0,0,1796,B007_0.mat,14
0.12176647782325745,0.3963417112827301,0.12088428437709808,3.254932871245691,1,Ball,7.0,0,1796,B007_0.mat,15
0.14021062850952148,0.4876302480697632,0.13936485350131989,3.477840826001639,1,Ball,7.0,0,1796,B007_0.mat,16
0.1503252238035202,0.4876302480697632,0.14955252408981323,3.243835171049612,1,Ball,7.0,0,1796,B007_0.mat,17
0.1425936371088028,0.42931604385375977,0.14179463684558868,3.0107657856162264,1,Ball,7.0,0,1796,B007_0.mat,18
